mode,max_layers_per_block,input_blocks,scheduled_blocks,num_states,best_sub_batch,latency,energy,edp,sct_solver,met_solver
stage_level,24,5,5,9,32,644669228443.890991,9.269336,5975655689251.685547,ortools-scip,ortools-scip
stage_level,48,5,5,9,32,649082893739.704956,9.334249,6058701309249.745117,ortools-scip,ortools-scip
stage_level,8,5,5,9,32,655246847622.742676,9.412309,6167385605487.405273,ortools-scip,ortools-scip
stage_level,12,5,5,9,32,657452628197.846069,9.448995,6212266577920.012695,ortools-scip,ortools-scip
stage_level,32,5,5,9,32,658912533158.942383,9.462943,6235251460109.301758,ortools-scip,ortools-scip
stage_level,4,5,5,9,32,659801834755.959351,9.481285,6255769555409.689453,ortools-scip,ortools-scip
stage_level,16,5,5,9,32,665440110261.264404,9.545934,6352247544837.778320,ortools-scip,ortools-scip
stage_level,64,5,5,9,32,342588308618.483154,55.589684,19044375932793.261719,ortools-scip,ortools-scip
layer_level,4,471,118,235,32,682881544562.818848,18.221769,12443309663260.392578,ortools-scip,ortools-scip
layer_level,8,471,59,117,32,679662082505.674072,23.916415,16255080146584.666016,ortools-scip,ortools-scip
layer_level,16,471,30,59,32,680612943937.649414,23.922351,16281861710693.183594,ortools-scip,ortools-scip
layer_level,12,471,40,79,32,679418454166.784546,31.042514,21090857040042.792969,ortools-scip,ortools-scip
layer_level,24,471,20,39,32,676220991112.545044,31.541157,21328792414163.367188,ortools-scip,ortools-scip
layer_level,32,471,15,29,32,673160542221.443604,38.918093,26198124309311.671875,ortools-scip,ortools-scip
layer_level,48,471,10,19,32,665293113150.376587,51.755254,34432413948077.828125,ortools-scip,ortools-scip
layer_level,64,471,8,15,32,690875293332.534302,66.200166,45736059166258.898438,ortools-scip,ortools-scip
