network,source_kind,source_ref,batch_size,best_sub_batch,state_order,state_batches,active_states,latency,energy,edp,solver
alexnet,official_src_nns,src/nns/alexnet.cpp,64,32,W0 -> W1 -> W2 -> M -> D0 -> D1 -> D2,"0,0,1,1,0,0,0",2,4593750000.000000,148.316850,681330529687.500122,ortools-scip
attention_group_builder,supplemented_variant,supplemented_profile,96,32,W0 -> W1 -> W2 -> M -> D0 -> D1 -> D2,"0,0,1,1,1,0,0",3,22208333333.333332,858.772000,19071894833333.335938,ortools-scip
darknet19,official_src_nns,src/nns/darknet19.cpp,64,32,W0 -> W1 -> W2 -> M -> D0 -> D1 -> D2,"0,0,1,1,0,0,0",2,7281944444.444445,179.687750,1308476212847.222168,ortools-scip
densenet,official_src_nns,src/nns/densenet.cpp,64,32,W0 -> W1 -> W2 -> M -> D0 -> D1 -> D2,"0,0,1,1,0,0,0",2,7554166666.666666,331.578500,2504799252083.333008,ortools-scip
gnmt,official_src_nns,src/nns/gnmt.cpp,128,32,W0 -> W1 -> W2 -> M -> D0 -> D1 -> D2,"0,1,1,1,1,0,0",4,37673611111.111107,815.340000,30716802083333.335938,ortools-scip
googlenet,official_src_nns,src/nns/googlenet.cpp,64,32,W0 -> W1 -> W2 -> M -> D0 -> D1 -> D2,"0,0,1,1,0,0,0",2,10548611111.111111,204.506500,2157259538194.444580,ortools-scip
incep_resnet,official_src_nns,src/nns/incep_resnet.cpp,64,32,W0 -> W1 -> W2 -> M -> D0 -> D1 -> D2,"0,0,1,1,0,0,0",2,15652777777.777775,211.257200,3306762005555.555176,ortools-scip
llm,official_src_nns,src/nns/llm.cpp,128,32,W0 -> W1 -> W2 -> M -> D0 -> D1 -> D2,"0,1,1,1,1,0,0",4,113194444444.444443,1836.420000,207872541666666.656250,ortools-scip
pnasnet,official_src_nns,src/nns/pnasnet.cpp,64,32,W0 -> W1 -> W2 -> M -> D0 -> D1 -> D2,"0,0,1,1,0,0,0",2,10820833333.333332,178.695000,1933628812499.999756,ortools-scip
resnet,official_src_nns,src/nns/resnet.cpp,64,32,W0 -> W1 -> W2 -> M -> D0 -> D1 -> D2,"0,0,1,1,0,0,0",2,17422222222.222221,234.686100,4088753386666.666504,ortools-scip
transformer,official_src_nns,src/nns/transformer.cpp,128,32,W0 -> W1 -> W2 -> M -> D0 -> D1 -> D2,"0,1,1,1,1,0,0",4,58854166666.666664,1143.000000,67270312500000.007812,ortools-scip
transformer_fused,supplemented_variant,supplemented_profile,128,32,W0 -> W1 -> W2 -> M -> D0 -> D1 -> D2,"0,1,1,1,1,0,0",4,39236111111.111107,556.260000,21825479166666.664062,ortools-scip
transformer_grouped,supplemented_variant,supplemented_profile,128,32,W0 -> W1 -> W2 -> M -> D0 -> D1 -> D2,"0,1,1,1,1,0,0",4,46180555555.555550,880.110000,40643968749999.992188,ortools-scip
transformer_semifused,supplemented_variant,supplemented_profile,128,32,W0 -> W1 -> W2 -> M -> D0 -> D1 -> D2,"0,1,1,1,1,0,0",4,45833333333.333328,872.490000,39989124999999.992188,ortools-scip
transformer_semigrouped,supplemented_variant,supplemented_profile,128,32,W0 -> W1 -> W2 -> M -> D0 -> D1 -> D2,"0,1,1,1,1,0,0",4,44097222222.222214,857.250000,37802343749999.992188,ortools-scip
vgg,official_src_nns,src/nns/vgg.cpp,64,32,W0 -> W1 -> W2 -> M -> D0 -> D1 -> D2,"0,0,1,1,0,0,0",2,8983333333.333332,226.347000,2033350550000.000000,ortools-scip
zfnet,official_src_nns,src/nns/zfnet.cpp,64,32,W0 -> W1 -> W2 -> M -> D0 -> D1 -> D2,"0,0,1,1,0,0,0",2,4151388888.888888,135.014000,560495619444.444458,ortools-scip
